"Dstate","Ddistrict","Dtime","Dy_viol","Dx_viol","Dy_prop","Dx_prop","Dy_murd","Dx_murd","Dxx_1","Dxx_2","Dxx_3","Dxx_4","Dxx_5","Dxx_6","Dxx_7","Dxx_8","Dxv_levitt","Dyv_levitt","Dxp_levitt","Dyp_levitt","Dxm_levitt","Dym_levitt"
1,8,1,0.201645,0.0049528,0.07131,0.0189349,0.0275300000000001,0.0004868,0.0426256,0.0282399,0.00924999999999999,0.000427569999999999,0.032,-0.0271851,0,0.00600000000000001,-0.0183981316446867,0.14097422245876,-0.0384564476545614,0.0270241342269224,-0.00871376591406233,-0.00431430280868951
1,8,2,0.00380500000000006,0.0174469,0.0440990000000001,0.0498958,-0.0792890000000002,0.0039056,0.0631108,0.0280116,-0.02058,0.000161420000000003,-0.025,0.0649964,0,0.000999999999999979,-0.00028315643739147,0.0150239400863438,-0.0140526469533516,0.0320814005678679,0.00524088876729327,-0.0353673907511358
1,8,3,0.00730600000000003,0.0202782,0.036584,0.0583084,0.068857,0.0044315,0.0854159999999999,0.0614201,-0.00567,0.00019677999999999,-0.02,-0.0245742,0,0,-0.0225200819395665,-0.0273540284358021,-0.0542326305193652,0.0372186988231067,-0.00635569492254575,0.0465859775407545
1,8,4,0.052427,0.0362404,0.00475499999999984,0.0868752,0.0298750000000001,0.0125309,-0.0218719999999999,0.0606974,-0.00183,0.000207569999999997,-0.00400000000000002,0.0579493,0,0,-0.0297462270585067,0.00627637268481088,-0.0568506781107403,-0.00865789240874782,-0.0144224255514886,0.0565204620380278
1,8,5,0.157835,0.0497847,0.017239,0.1053749,0.0987459999999998,0.02361,0.092517,0.0480757000000001,-0.0025,0.000117630000000002,0.00300000000000001,-0.0352764,0,0.00700000000000003,-0.0404420014618288,0.0608468685774069,-0.0647826037489319,0.010119028465589,-0.0259057691487898,0.0496062836300259
1,8,6,0.177198,0.0669379,0.0742440000000002,0.1301454,-0.00555499999999975,0.0359482,0.118912,0.0422735000000001,0.00424999999999999,4.97000000000014e-05,-0.00399999999999999,0.0049703,0,0,-0.038519954652188,0.133229071271763,-0.0526525399450128,0.0688447480095243,-0.029102343598621,-0.0217862995841827
1,8,7,0.0318140000000002,0.081604,-0.0282750000000003,0.1492151,-0.0419719999999999,0.0510224,0.055361,0.029782,0.001,0.000260259999999999,-0.017,0.0104954,0,0.00299999999999997,-0.0404210355147928,0.0159561188694259,-0.0391734061881613,0.0146554577138946,-0.0404130192886418,-0.00338455133501236
1,8,8,-0.110094,0.1009007,-0.069728,0.1675001,0.0500149999999997,0.0682994,0.0206109999999999,0.00369799999999998,0.002,6.87399999999982e-05,0.00299999999999997,-0.028292,0,-0.000999999999999979,-0.0509389438334136,-0.110568975463172,-0.0389945783263548,-0.0440573065635864,-0.0568847717574114,-0.0148872931979948
1,8,9,-0.132352,0.1211818,0.0291000000000001,0.185935,0.0269080000000002,0.08484,0.0583850000000001,0.0231869999999998,-0.015,0.000271740000000005,-0.01,-0.0363755,0,0.00699999999999999,-0.0262679419675031,-0.117978366048026,0.00998065092802095,0.0368748868195239,-0.0441107390676659,0.121284551727369
1,8,10,-0.080311,0.1346325,-0.00315300000000018,0.1850067,-0.0636030000000001,0.1082382,0.066821,0.0125380000000002,0.003,0.000450699999999991,0.037,-0.0373595,0,-0.00399999999999999,-0.0442627962570094,-0.0675689546595396,-0.00793568700083394,-0.0181754310647,-0.0586162650233562,-0.0315696907579457
1,8,11,-0.113717,0.1489966,0.00742600000000015,0.188122,-0.0739610000000002,0.1238385,0.04654,0.046101,-0.012,0.000156230000000015,-0.061,-0.0325175,0,0.00399999999999999,0.000231730742503877,-0.0511920300741508,0.0487833659417758,0.0459308917758718,-0.0208291196113449,-0.0658231695415968
1,8,12,0.00242200000000015,0.1530603,0.0205199999999999,0.171617,-0.0480289999999997,0.1398523,0.0426,0.032842,0,-2.75700000000079e-05,0.017,-0.00704589999999998,0,-0.00199999999999999,-0.0170101151912564,0.0212453689008321,0.0174935706490326,0.0368174555936201,-0.0274681629873726,0.0478079405643593
2,2,1,0.0902940000000001,0.0067614,0.0244550000000006,0.0247853,0.151308,0.0006997,0.0413763,-0.008297,0.00417000000000001,0.00038435999999999,0.036,-0.0647147,0,0.00800000000000001,-0.0170000437153342,0.0291993302330018,-0.0298637175172428,-0.0174310313996123,-0.0102836553348741,0.100940467027485
2,2,2,-0.0896079999999999,0.0194292,-0.0308260000000002,0.0571559,-0.231714,0.0041111,0.0502349999999999,0.021639,-0.00650000000000001,1.52399999999986e-05,-0.015,0.0145056,0,-0.00800000000000001,-0.0189376995952758,-0.0643634705448716,-0.0382225575289463,-0.0524945576661882,-0.0087247514007896,-0.205319566318341
2,2,3,-0.00877700000000003,0.0284124,0.0376890000000003,0.0778914,0.122076,0.0067018,0.117191,0.00172400000000006,-0.000170000000000003,-4.1809999999991e-05,0.013,-0.0429426,0,-0.00400000000000002,-0.0298225293782826,-0.0342498189447601,-0.0572168245363847,0.0334177419973199,-0.0153767830714672,0.080471423943313
2,2,4,-0.0161660000000001,0.0465524,0.0850249999999999,0.1108407,-0.239833,0.0154183,0.105145,0.010327,-0.01033,-9.5679999999998e-05,0,-0.0499862999999999,0,-0.00399999999999999,-0.0280078748755979,-0.0464227957858516,-0.0475814485956904,0.0799026073427271,-0.0169377296521445,-0.307931294781143
