year	statenum	division	newlpc_prop	newlpc_viol	newlpc_murd	newefaprop	newefaviol	newefamurd
1997	49	5	3.111998	.7806689	-3.188616	1.064864	.7010868	.5241935
1998	49	5	3.132328	.9083229	-3.147467	1.14606	.7965499	.6167786
1999	49	5	3.162802	1.251927	-3.132628	1.222838	.8912959	.7110136
2000	49	5	3.130018	1.152584	-3.671023	1.289794	.980357	.8000352
2001	49	5	3.126844	1.027614	-3.807675	1.349577	1.065025	.8877081
2002	49	5	3.125296	.8493841	-3.455392	1.409193	1.14967	.9761687
2003	49	5	3.160405	.9451079	-3.358743	1.455498	1.22377	1.057183
1960	50	3	2.407645	-1.144844	-4.372481			
1961	50	3	2.454538	-1.151101	-4.153162			
1962	50	3	2.452486	-1.238053	-4.695307			
1963	50	3	2.563714	-1.142357	-4.07317			
1964	50	3	2.721927	-.8602667	-4.240127			
1965	50	3	2.715177	-.7950481	-4.191547			
1966	50	3	2.891969	-.7674351	-3.978279			
1967	50	3	3.046656	-.3781855	-3.985041			
1968	50	3	3.107066	-.2452503	-3.854992			
1969	50	3	3.147488	-.2495865	-3.918439			
1970	50	3	3.264351	-.152753	-3.916065			
1971	50	3	3.377885	-.1201456	-3.567105			
1972	50	3	3.355385	-.0326	-3.576087			
1973	50	3	3.43132	.1531489	-3.638082			
1974	50	3	3.559992	.3438154	-3.494701			
1975	50	3	3.649944	.4232891	-3.418597			
1976	50	3	3.630649	.3225017	-3.491278			
1977	50	3	3.611292	.2792681	-3.572025			
1978	50	3	3.63088	.2859355	-3.6731			
1979	50	3	3.750777	.5152127	-3.37648			
1980	50	3	3.825494	.5953414	-3.545222			
1981	50	3	3.826732	.6333489	-3.379503			
1982	50	3	3.756792	.6520575	-3.464229			
1983	50	3	3.711188	.6528589	-3.584671			
1984	50	3	3.689204	.6820922	-3.700682			
1985	50	3	3.645882	.7328381	-3.560155	.0635776	.0162151	.0015412
1986	50	3	3.653934	.9534383	-3.463136	.0908886	.0236457	.0023078
1987	50	3	3.674621	.9220675	-3.347796	.1620262	.0499923	.008601
1988	50	3	3.633728	.7698818	-3.511211	.2527566	.0839269	.0168739
1989	50	3	3.67648	.8023561	-3.317605	.3744428	.1386154	.0374489
1990	50	3	3.718359	.9707755	-3.081821	.5239388	.2162812	.0780747
1991	50	3	3.73314	1.016792	-3.033573	.685894	.3117639	.1381085
1992	50	3	3.695978	1.010599	-3.137765	.8417974	.4144398	.2172935
1993	50	3	3.625597	.9630685	-3.131351	1.006381	.5343796	.3168159
1994	50	3	3.593702	.9850709	-3.118628	1.156095	.658535	.4231364
1995	50	3	3.572805	1.021421	-3.164422	1.303727	.7926396	.5474945
1996	50	3	3.561304	.9135363	-3.244044	1.437413	.9284494	.6761355
1997	50	3	3.509996	.9768884	-3.246057	1.555219	1.064003	.8098155
1998	50	3	3.480715	.898374	-3.327999	1.652968	1.195199	.9457473
1999	50	3	3.402285	.883996	-3.394221	1.724505	1.309805	1.072753
2000	50	3	3.389922	.8599565	-3.459502	1.784466	1.415697	1.189541
2001	50	3	3.430047	.8371162	-3.337752	1.840017	1.51754	1.303727
2002	50	3	3.410577	.8106993	-3.564649	1.893339	1.614434	1.407787
2003	50	3	3.36093	.7927296	-3.409321	1.946057	1.707569	1.508508
1960	51	8	2.895561	.0895258	-3.02953			
1961	51	8	2.937386	-.1571224	-3.422188			
1962	51	8	2.842007	-.7582865	-3.323236			
1963	51	8	2.895813	-.455819	-3.332205			
1964	51	8	2.91785	-.1735109	-2.881561			
1965	51	8	2.966701	-.2560589	-3.50255			
1966	51	8	3.078296	-.1681805	-3.005064			
1967	51	8	3.121626	-.0909718	-3.066501			
1968	51	8	3.17522	-.1531224	-2.785011			
1969	51	8	3.235036	-.1400659	-2.29955			
1970	51	8	3.353081	.123202	-2.861948			
1971	51	8	3.280073	.44686	-2.939412			
1972	51	8	3.355009	.3860511	-3.211261			
1973	51	8	3.461761	.7677888	-2.691415			
1974	51	8	3.539071	.3506348	-3.010897			
1975	51	8	3.656341	.6939459	-2.307036			
1976	51	8	3.608517	.7625968	-2.687979			
1977	51	8	3.636793	.8612053	-2.933262			
1978	51	8	3.720306	1.010407	-2.669263			
1979	51	8	3.790987	1.245618	-2.405357			
1980	51	8	3.816209	1.356467	-2.794302			
1981	51	8	3.851122	1.45939	-2.902056			
1982	51	8	3.797891	1.103733	-2.398685			
1983	51	8	3.63856	.8706992	-2.833889			
1984	51	8	3.550278	.8960919	-3.391139			
1985	51	8	3.645015	.9614918	-3.122956	.0557032	.0139902	.0013016
1986	51	8	3.727453	1.098008	-2.909999	.0847315	.0219937	.0021401
1987	51	8	3.650813	1.067455	-3.864858	.1437991	.04342	.007098
1988	51	8	3.610759	1.156867	-3.657348	.2187148	.0716559	.0139215
1989	51	8	3.62765	.984642	-3.083163	.3349758	.1236759	.0326337
1990	51	8	3.665712	1.10296	-3.026372	.4582885	.1877017	.0655969
1991	51	8	3.709972	1.133713	-3.421566	.6149237	.2795824	.1211499
1992	51	8	3.750278	1.161136	-3.311511	.755594	.3740351	.1943178
1993	51	8	3.651063	1.044883	-3.386678	.8901094	.479551	.2856506
1994	51	8	3.684219	.9934337	-3.401787	1.005842	.5852246	.3856658
1995	51	8	3.694562	.9221274	-3.881894	1.106022	.6929661	.4953888
1996	51	8	3.67518	.9002523	-3.418069	1.188989	.7946129	.599622
1997	51	8	3.650612	.9174118	-3.360071	1.264195	.8957337	.707159
1998	51	8	3.552226	.8865384	-3.060516	1.329971	.9936596	.8046616
1999	51	8	3.448497	.8185782	-3.800136	1.39946	1.087561	.901878
2000	51	8	3.410928	.9795433	-3.717902	1.454359	1.171965	.9887959
2001	51	8	3.485042	.9455714	-4.00555	1.499959	1.249732	1.074256
2002	51	8	3.497761	1.005186	-3.504941	1.548049	1.32988	1.160576
2003	51	8	3.501224	.96201	-3.579764	1.587088	1.400128	1.240735
