"","method","gamma_hat","LCL","UCL","interval_width"
"1","BDML-Basic",-0.044531418634444,-0.150410475,0.0619241899999998,0.212334665
"2","BDML-Hier",0.00238954383708,-0.098241855,0.101985175,0.20022703
"3","Naive",-0.0704059318600255,-0.12441951469094,-0.0163923490291108,0.108027165661829
"4","Hahn",-0.0838932549491346,-0.223163237200925,0.0553767273026557,0.27853996450358
"5","Linero",-0.067150816870034,-0.219608055098456,0.0853064213583875,0.304914476456843
"6","FDML-Split",0.00949459216317921,-0.0465988210667698,0.0655880053931282,0.112186826459898
"7","FDML-Full",-0.076422660134707,-0.212068506557575,0.0592231862881608,0.271291692845736
