"","method","gamma_hat","LCL","UCL","interval_width"
"1","BDML-Basic",0.0596014024324,-0.700371025,0.851992424999999,1.55236345
"2","BDML-Hier",-0.15032482467354,-0.8198513,0.516236899999999,1.3360882
"3","Naive",-0.19333610719981,-0.55182679399921,0.16515457959959,0.7169813735988
"4","Hahn",0.0415365922741641,-1.00113383332149,1.08420701786982,2.08534085119131
"5","Linero",-0.0299700655880365,-1.00418978728162,0.94424965610555,1.94843944338717
"6","FDML-Split",0.0252710966456879,-0.45677290367862,0.507315096969996,0.964088000648616
"7","FDML-Full",-0.0445986893230052,-1.0702025440002,0.98100516535419,2.05120770935439
