"","method","gamma_hat","LCL","UCL","interval_width"
"1","BDML-Basic",0.02462464547668,-0.174246475,0.2251449,0.399391375
"2","BDML-Hier",-0.06021294542434,-0.212134825,0.0946530525,0.3067878775
"3","Naive",-0.117403548239712,-0.252301996065635,0.0174948995862113,0.269796895651846
"4","Hahn",-0.151635409931113,-0.460842867313604,0.157572047451379,0.618414914764983
"5","Linero",-0.129135075818861,-0.510344391943767,0.252074240306044,0.762418632249811
"6","FDML-Split",0.126987108153831,0.0185758818850287,0.235398334422633,0.216822452537604
"7","FDML-Full",-0.0991228039000946,-0.448590061345247,0.250344453545058,0.698934514890305
